year,category,question,answer,percentage,total_answers
2013,The violence lived / witnessed,What motivated violence?,Games addictions,0,0
2015,The violence lived / witnessed,What motivated violence?,Other reasons/addictions,45,495
2015,The violence lived / witnessed,What motivated violence?,Drug use,4,44
2015,The violence lived / witnessed,What motivated violence?,Marital betrayal,3,33
2015,The violence lived / witnessed,What motivated violence?,Influence of family members,3,33
2015,The violence lived / witnessed,What motivated violence?,The request for separation,3,33
2015,The violence lived / witnessed,What motivated violence?,Jealousy,21,231
2015,The violence lived / witnessed,What motivated violence?,Lack of money,2,22
2015,The violence lived / witnessed,What motivated violence?,Alcohol use,19,209
2017,The violence lived / witnessed,What motivated violence?,Other reasons/addictions,27,301
2017,The violence lived / witnessed,What motivated violence?,Alcohol use,24,267
2017,The violence lived / witnessed,What motivated violence?,Jealousy,17,189
2017,The violence lived / witnessed,What motivated violence?,Drug use,5,55
2017,The violence lived / witnessed,What motivated violence?,The request for separation,5,55
2017,The violence lived / witnessed,What motivated violence?,Marital betrayal,4,44
2017,The violence lived / witnessed,What motivated violence?,Lack of money,2,22
2017,The violence lived / witnessed,What motivated violence?,Influence of family members,2,22
2007,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,26,207
2007,The violence lived / witnessed,Do you live with the person who assaulted you?,No,73,581
2007,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,1,7
2009,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,30,248
2009,The violence lived / witnessed,Do you live with the person who assaulted you?,No,70,578
2009,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2011,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,32,432
2011,The violence lived / witnessed,Do you live with the person who assaulted you?,No,67,905
2011,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,1,13
2013,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,31,386
2013,The violence lived / witnessed,Do you live with the person who assaulted you?,No,69,861
2013,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2015,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,23,253
2015,The violence lived / witnessed,Do you live with the person who assaulted you?,No,67,738
2015,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2017,The violence lived / witnessed,Do you live with the person who assaulted you?,No,73,814
2017,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,27,301
2017,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2019,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,24,576
2019,The violence lived / witnessed,Do you live with the person who assaulted you?,No,76,1824
2019,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2021,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,17,510
2021,The violence lived / witnessed,Do you live with the person who assaulted you?,No,82,2460
2021,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2023,The violence lived / witnessed,Do you live with the person who assaulted you?,Yes,20,4357
2023,The violence lived / witnessed,Do you live with the person who assaulted you?,No,79,17211
2023,The violence lived / witnessed,Do you live with the person who assaulted you?,NS/NR,0,0
2007,The violence lived / witnessed,You suffer violence:,Every day,6,47
2007,The violence lived / witnessed,You suffer violence:,Weekly,3,23
2007,The violence lived / witnessed,You suffer violence:,I no longer suffer violence,72,573
2007,The violence lived / witnessed,You suffer violence:,Rarely,19,151
2007,The violence lived / witnessed,You suffer violence:,NS/NR,0,0
2009,The violence lived / witnessed,You suffer violence:,Every day,38,314
2009,The violence lived / witnessed,You suffer violence:,Weekly,31,256
2009,The violence lived / witnessed,You suffer violence:,Rarely,31,256
2009,The violence lived / witnessed,You suffer violence:,NS/NR,0,0
2011,The violence lived / witnessed,You suffer violence:,Every day,20,270
2011,The violence lived / witnessed,You suffer violence:,Weekly,13,175
2011,The violence lived / witnessed,You suffer violence:,Biweekly,13,175
2011,The violence lived / witnessed,You suffer violence:,Monthly,7,94
2011,The violence lived / witnessed,You suffer violence:,Rarely,40,540
2011,The violence lived / witnessed,You suffer violence:,NS/NR,7,94
2013,The violence lived / witnessed,You suffer violence:,Every day,17,212
2013,The violence lived / witnessed,You suffer violence:,Weekly,25,312
2013,The violence lived / witnessed,You suffer violence:,Biweekly,0,0
2013,The violence lived / witnessed,You suffer violence:,Monthly,8,99
2013,The violence lived / witnessed,You suffer violence:,Rarely,42,524
2013,The violence lived / witnessed,You suffer violence:,NS/NR,8,99
2015,The violence lived / witnessed,You suffer violence:,Every day,0,0
2015,The violence lived / witnessed,You suffer violence:,Weekly,22,242
2015,The violence lived / witnessed,You suffer violence:,Biweekly,0,0
2015,The violence lived / witnessed,You suffer violence:,Monthly,0,0
2015,The violence lived / witnessed,You suffer violence:,Rarely,67,738
2015,The violence lived / witnessed,You suffer violence:,NS/NR,11,121
2009,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,62,512
2009,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,38,314
2009,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2011,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,57,770
2011,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,42,567
2011,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2013,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,58,723
2013,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,42,524
2013,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2015,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,56,617
2015,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,44,484
2015,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2017,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,71,792
2017,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,29,323
2017,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2019,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,60,1440
2019,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,39,936
2019,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2021,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,69,2070
2021,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,30,900
2021,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,0,0
2023,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",Yes,68,14815
2023,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",No,31,6753
2023,The violence lived / witnessed,"Has any friend, familiar or known have you suffered some kind of domestic or family violence?",NS/NR,1,217
2009,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,Yes,27,223
2009,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,No,69,570
2009,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,NS/NR,4,33
2011,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,Yes,18,243
2011,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,No,80,1081
2011,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,NS/NR,1,13
2013,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,Yes,14,174
2013,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,No,86,1073
2013,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,NS/NR,0,0
2015,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,Yes,13,143
2015,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,No,87,958
2015,The violence lived / witnessed,Do you still suffer some kind of domestic and familiar violence?,NS/NR,0,0
2009,The violence lived / witnessed,And what led you to choose not to do anything?,Another option,65,537
2009,The violence lived / witnessed,And what led you to choose not to do anything?,Fear of revenge by the aggressor,22,181
2009,The violence lived / witnessed,And what led you to choose not to do anything?,Believe it would be the last time,11,90
2009,The violence lived / witnessed,And what led you to choose not to do anything?,NS/NR,3,24
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Concern with the raising of children,31,419
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Fear of revenge by the aggressor,20,270
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Another option,17,229
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Shame of aggression,12,162
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Believe it would be the last time,12,162
2011,The violence lived / witnessed,And what led you to choose not to do anything?,Financial dependence,5,67
2011,The violence lived / witnessed,And what led you to choose not to do anything?,No punishment,3,40
2011,The violence lived / witnessed,And what led you to choose not to do anything?,NS/NR,0,0
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Another option,32,399
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Fear of revenge by the aggressor,24,299
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Shame of aggression,12,149
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Believe it would be the last time,12,149
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Financial dependence,9,112
2013,The violence lived / witnessed,And what led you to choose not to do anything?,Concern with the raising of children,9,112
2013,The violence lived / witnessed,And what led you to choose not to do anything?,No punishment,0,0
2013,The violence lived / witnessed,And what led you to choose not to do anything?,NS/NR,3,37
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Concern with the raising of children,24,264
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Fear of revenge by the aggressor,21,231
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Believe it would be the last time,17,187
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Another option,17,187
2015,The violence lived / witnessed,And what led you to choose not to do anything?,No punishment,10,110
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Shame of aggression,7,77
2015,The violence lived / witnessed,And what led you to choose not to do anything?,Financial dependence,0,0
2015,The violence lived / witnessed,And what led you to choose not to do anything?,NS/NR,5,55
2009,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,91,752
2009,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,27,223
2009,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,25,206
2009,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,13,107
2009,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,9,74
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,9,121
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,84,1135
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,33,446
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,33,446
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,11,148
2011,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,0,0
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,9,112
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,86,1073
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,40,499
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,35,436
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,10,124
2013,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,0,0
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,87,958
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,41,451
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,38,418
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,11,121
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,11,121
2015,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,0,0
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,84,937
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,37,412
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,36,401
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,9,100
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,8,89
2017,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,1,11
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,82,1967
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,39,936
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,33,792
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,13,312
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,11,264
2019,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,1,24
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,80,2400
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,58,1739
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,48,1440
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,26,780
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,23,690
2021,The violence lived / witnessed,And what was the type of violence suffered by the known person?,NS/NR,1,30
2023,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Physical,89,19390
2023,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Psychological,86,18736
2023,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Moral,82,17865
2023,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Patrimonial,44,9586
2023,The violence lived / witnessed,And what was the type of violence suffered by the known person?,Sexual,30,6536
2011,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,8,108
2011,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,63,851
2011,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,27,365
2011,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,2,27
2013,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,6,74
2013,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,71,886
2013,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,21,262
2013,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,1,12
2015,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,5,55
2015,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,75,826
2015,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,19,209
2015,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,1,11
2017,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,10,111
2017,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,65,725
2017,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,21,234
2017,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,2,22
2017,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Always,2,22
2019,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Always,3,72
2019,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,10,240
2019,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,61,1464
2019,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,24,576
2019,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,2,48
2021,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Always,2,60
2021,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,10,300
2021,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,64,1920
2021,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,23,690
2021,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,1,30
2023,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Always,2,435
2023,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Most of the time,13,2832
2023,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",In the minority of the time,62,13507
2023,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",Do not report,22,4793
2023,The violence lived / witnessed,"In his opinion, women who suffer aggression denounce the fact to the authorities:",NS/NR,1,217
2017,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Increased,69,770
2017,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Remained the same,24,267
2017,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Decreased,7,78
2017,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",NS/NR,1,11
2019,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Increased,82,1967
2019,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Remained the same,13,312
2019,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Decreased,4,96
2019,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",NS/NR,2,48
2021,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Increased,86,2580
2021,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Remained the same,10,300
2021,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Decreased,2,60
2021,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",NS/NR,2,60
2023,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Increased,74,16122
2023,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Remained the same,19,4139
2023,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",Decreased,5,1089
2023,The violence lived / witnessed,"For you, in the last twelve months, domestic and family violence against women:",NS/NR,3,653
2017,The violence lived / witnessed,Do you know this woman in person?,Yes,89,993
2017,The violence lived / witnessed,Do you know this woman in person?,No,10,111
2017,The violence lived / witnessed,Do you know this woman in person?,NS/NR,0,0
2019,The violence lived / witnessed,Do you know this woman in person?,Yes,89,2136
2019,The violence lived / witnessed,Do you know this woman in person?,No,11,264
2019,The violence lived / witnessed,Do you know this woman in person?,NS/NR,0,0
2017,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,Yes,22,245
2017,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,No,78,870
2017,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,NS/NR,0,0
2019,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,Yes,19,456
2019,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,No,81,1944
2019,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,NS/NR,0,0
2021,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,Yes,20,600
2021,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,No,80,2400
2021,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,NS/NR,0,0
2023,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,Yes,22,4793
2023,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,No,78,16993
2023,The violence lived / witnessed,Has any episode of domestic or family violence occurred in the last 12 months?,NS/NR,0,0
2019,The violence lived / witnessed,Currently he is your husband?,Yes,43,1032
2019,The violence lived / witnessed,Currently he is your husband?,No,53,1272
2019,The violence lived / witnessed,Currently he is your husband?,NS/NR,4,96
2021,The violence lived / witnessed,Currently he is your husband?,Yes,20,600
2021,The violence lived / witnessed,Currently he is your husband?,No,79,2370
2021,The violence lived / witnessed,Currently he is your husband?,NS/NR,2,60
2023,The violence lived / witnessed,Currently he is your husband?,Yes,26,5664
2023,The violence lived / witnessed,Currently he is your husband?,No,73,15904
2023,The violence lived / witnessed,Currently he is your husband?,NS/NR,0,0
2019,The violence lived / witnessed,Is he currently your boyfriend?,Yes,0,0
2019,The violence lived / witnessed,Is he currently your boyfriend?,No,100,2400
2019,The violence lived / witnessed,Is he currently your boyfriend?,NS/NR,0,0
2021,The violence lived / witnessed,Is he currently your boyfriend?,Yes,0,0
2021,The violence lived / witnessed,Is he currently your boyfriend?,No,100,3000
2021,The violence lived / witnessed,Is he currently your boyfriend?,NS/NR,0,0
2023,The violence lived / witnessed,Is he currently your boyfriend?,Yes,6,1307
2023,The violence lived / witnessed,Is he currently your boyfriend?,No,94,20479
2023,The violence lived / witnessed,Is he currently your boyfriend?,NS/NR,0,0
2019,The violence lived / witnessed,Do you depends economically from it?,Yes,34,816
2019,The violence lived / witnessed,Do you depends economically from it?,No,66,1584
2019,The violence lived / witnessed,Do you depends economically from it?,NS/NR,0,0
2019,The violence lived / witnessed,Do you live with him?,Yes,96,2304
2019,The violence lived / witnessed,Do you live with him?,No,4,96
2019,The violence lived / witnessed,Do you live with him?,NS/NR,0,0
2019,The violence lived / witnessed,"If you didn't depend economically, would you continue to live with him?",Yes,47,1128
2019,The violence lived / witnessed,"If you didn't depend economically, would you continue to live with him?",No,53,1272
2019,The violence lived / witnessed,"If you didn't depend economically, would you continue to live with him?",NS/NR,0,0
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Drunk,37,888
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Jealous,26,624
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Disagreeing with relationship termination,12,288
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Drugged,7,168
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Normal state,6,144
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Indebted,3,72
2019,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Another situation,23,552
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Jealousy,49,10675
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Disagreeing with relationship termination,46,10022
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Drunk,40,8714
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Indebted,17,3703
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Drugged,17,3703
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Normal state,9,1960
2023,The violence lived / witnessed,"At the time of aggression, the aggressor was:",Another situation,17,3703
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Insulted you?,13,312
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:","Did you do things to scare you, how to scream or break objects?",11,264
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Humiliated you in front of other people?,11,264
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you make false accusations about you?,11,264
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:","He hit, pushed, threw an object, or did something else to hurt you?",6,144
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you threaten you or someone close to you?,6,144
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you take or destroy an object or document of yours to harm you?,4,96
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you make any financial transaction to harm you?,3,72
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you threaten to use or used a gun against you?,2,48
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Have you taken your salary or the income of your work?,2,48
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you use intimate photos or videos to blackmail you?,1,24
2019,The violence lived / witnessed,"In the last 12 months, some partner or former partner:",Did you disclose intimate photos or videos on the internet without your permission?,1,24
2021,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Very,90,2700
2021,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Little,5,150
2021,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Nothing,2,60
2021,The violence lived / witnessed,How much aggression influenced the end of the relationship?,NS/NR,3,90
2023,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Very,90,19608
2023,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Little,5,1089
2023,The violence lived / witnessed,How much aggression influenced the end of the relationship?,Nothing,3,653
2023,The violence lived / witnessed,How much aggression influenced the end of the relationship?,NS/NR,1,217
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have they become more frequent?,49,1470
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have they become more frequent?,50,1500
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have they become more frequent?,1,30
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have you become more serious?,44,1320
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have you become more serious?,55,1650
2021,The violence lived / witnessed,"During the pandemic, these situations of violence experienced within an intimate and family relationship:",Have you become more serious?,1,30
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Insulted you?,14,420
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you make false accusations about you?,14,420
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Humiliated you in front of other people?,13,390
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:","Did you do things to scare you, how to scream or break objects?",13,390
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you threaten you or someone close to you?,11,330
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:","He hit, pushed, threw an object, or did something else to hurt you?",8,240
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you take or destroy an object or document of yours to harm you?,4,120
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you threaten to use or used a gun against you?,3,90
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you make any financial transaction to harm you?,3,90
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Have you taken your salary or the income of your work?,2,60
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you use intimate photos or videos to blackmail you?,1,30
2021,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you disclose intimate photos or videos on the internet without your permission?,1,30
2023,The violence lived / witnessed,"In the last 12 months, someone, from their intimate or familiar relationship:",Did you make false accusations about you?,17,3703
